Channel,Device,Pasta1,Pasta2,Pasta3,Hibrido,Tag_name
FMA1,Debulha,Aeration,2223,,_debulha200[23].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2224,,_debulha200[24].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2101,,_debulha100[1].Lote_texto,lavoura
FMA1,Debulha,Aeration,2102,,_debulha100[2].Lote_texto,lavoura
FMA1,Debulha,Aeration,2103,,_debulha100[3].Lote_texto,lavoura
FMA1,Debulha,Aeration,2104,,_debulha100[4].Lote_texto,lavoura
FMA1,Debulha,Aeration,2105,,_debulha100[5].Lote_texto,lavoura
FMA1,Debulha,Aeration,2106,,_debulha100[6].Lote_texto,lavoura
FMA1,Debulha,Aeration,2107,,_debulha100[7].Lote_texto,lavoura
FMA1,Debulha,Aeration,2108,,_debulha100[8].Lote_texto,lavoura
FMA1,Debulha,Aeration,2109,,_debulha100[9].Lote_texto,lavoura
FMA1,Debulha,Aeration,2110,,_debulha100[10].Lote_texto,lavoura
FMA1,Debulha,Aeration,2111,,_debulha100[11].Lote_texto,lavoura
FMA1,Debulha,Aeration,2112,,_debulha100[12].Lote_texto,lavoura
FMA1,Debulha,Aeration,2113,,_debulha100[13].Lote_texto,lavoura
FMA1,Debulha,Aeration,2114,,_debulha100[14].Lote_texto,lavoura
FMA1,Debulha,Aeration,2115,,_debulha100[15].Lote_texto,lavoura
FMA1,Debulha,Aeration,2116,,_debulha100[16].Lote_texto,lavoura
FMA1,Debulha,Aeration,2117,,_debulha100[17].Lote_texto,lavoura
FMA1,Debulha,Aeration,2118,,_debulha100[18].Lote_texto,lavoura
FMA1,Debulha,Aeration,2119,,_debulha100[19].Lote_texto,lavoura
FMA1,Debulha,Aeration,2120,,_debulha100[20].Lote_texto,lavoura
FMA1,Debulha,Aeration,2121,,_debulha100[21].Lote_texto,lavoura
FMA1,Debulha,Aeration,2122,,_debulha100[22].Lote_texto,lavoura
FMA1,Debulha,Aeration,2123,,_debulha100[23].Lote_texto,lavoura
FMA1,Debulha,Aeration,2124,,_debulha100[24].Lote_texto,lavoura
FMA1,Debulha,Aeration,2201,,_debulha200[1].Lote_texto,lavoura
FMA1,Debulha,Aeration,2202,,_debulha200[2].Lote_texto,lavoura
FMA1,Debulha,Aeration,2203,,_debulha200[3].Lote_texto,lavoura
FMA1,Debulha,Aeration,2204,,_debulha200[4].Lote_texto,lavoura
FMA1,Debulha,Aeration,2205,,_debulha200[5].Lote_texto,lavoura
FMA1,Debulha,Aeration,2206,,_debulha200[6].Lote_texto,lavoura
